ID,State,Date,Day_of_Week,Time_of_Day,Weather_Conditions,Road_Conditions,Light_Conditions,Type_of_Road,Type_of_Junction,Type_of_Accident,Vehicle_Type,Driver_Age_Group,Num_Vehicles_Involved,Num_Casualties,Speed_Limit,Distance_to_Nearest_Hospital,Distance_to_Nearest_Police_Station,Visibility,Road_Width,Road_Surface_Friction_Coefficient,Vehicle_Speed,Time_Taken_for_Emergency_Response
165433.0,Connecticut,2024-02-20 05:46:20,Tuesday,19:59:02,Rainy,Muddy,Daylight,Street,T-Junction,Run-off-road,Car,Adult,2.0,3.0,57.0,3.303605918957475,3.139351249109827,485.6490115217988,4.886202342704658,0.9049708448414792,45.0,25.15278073323826
165434.0,Massachusetts,2024-02-21 00:00:00,Wednesday,21:28:51,Sunny,Muddy,Daylight,Highway,Intersection,Side collision,Pedestrian,Adult,1.0,0.0,55.0,2.715327267797583,3.634593240648084,616.979936065506,4.677592165942208,0.9492360132310731,41.0,23.16381656311549
165435.0,Wyoming,2024-02-22 00:00:00,Thursday,18:04:26,Snowy,Snowy,Dawn,Street,Underpass,Cyclist involved,Bicycle,Young Adult,3.0,1.0,38.0,4.811429201164661,9.631560792227788,838.7416540310976,9.926058085258047,0.1844466068152706,64.0,6.697749810405528
165436.0,Hawaii,2024-02-23 00:00:00,Sunday,16:51:02,Snowy,Icy,Daylight,Street,Intersection,Run-off-road,Car,Senior,5.0,0.0,59.0,6.976968332468886,2.334468159775682,842.4410191845283,4.351822373935851,0.1958110688519161,49.0,6.595035956840213
165437.0,Oklahoma,2024-02-24 00:00:00,Tuesday,14:19:19,Foggy,Icy,Night,Rural,T-Junction,Run-off-road,Car,Adult,2.0,0.0,53.0,3.724599098540818,4.359619628223481,905.6202625437304,6.626861549195199,0.9548212534156835,81.0,22.91312826092075
165438.0,Minnesota,2024-02-25 00:00:00,Monday,00:14:21,Foggy,Snowy,Dawn,Urban,T-Junction,Head-on collision,Pedestrian,Teenager,4.0,2.0,41.0,6.731334571885494,6.917151501360723,550.071521953286,9.254612078544461,0.4632285783086884,37.0,6.905079936108664
165439.0,Wyoming,2024-02-26 00:00:00,Saturday,10:21:34,Stormy,Icy,Daylight,Street,Crossroads,Rollover,Pedestrian,Teenager,1.0,2.0,65.0,8.431761499838613,0.6748361768471326,859.0380578835868,9.691996590711334,0.5521596494744403,80.0,17.49854371
165440.0,Minnesota,2024-02-27 00:00:00,Tuesday,02:01:40,Rainy,Icy,Daylight,Urban,Underpass,Rear-end collision,Motorcycle,Senior,4.0,1.0,68.0,6.056827158215318,9.92658952139068,700.9299631336082,4.922312299859193,0.524377048014829,49.0,26.81232268636848
165441.0,Nevada,2024-02-28 00:00:00,Wednesday,06:09:08,Rainy,Wet,Dusk,Highway,Overpass,Rear-end collision,Car,Teenager,4.0,0.0,59.0,6.010958362740503,7.872237440570397,892.7208735924202,9.329544864469465,0.7561471988243171,63.0,20.44267653046426
165442.0,North Dakota,2024-02-29 00:00:00,Tuesday,22:33:51,Sunny,Icy,Dawn,Street,Overpass,Pedestrian involved,Pedestrian,Senior,1.0,3.0,30.0,4.781272276549669,5.136492724395906,934.0296201895947,8.65090700882839,0.2180579472729197,45.0,7.766431755888124
165443.0,North Dakota,2024-03-01 00:00:00,Tuesday,05:49:45,Rainy,Wet,Dawn,Highway,Roundabout,Rear-end collision,Car,Adult,1.0,3.0,50.0,5.563376128582563,7.07410766069621,289.2758256736666,8.51602552795259,0.8019461767293261,95.0,18.22287434173438
